,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,is_male,is_female,deck,class_points,is_young_child,is_child,is_adult,is_older,class_1,class_2,class_3,deck_a,deck_b,deck_c,deck_d,deck_e,deck_f,deck_g,deck_t,deck_nan,embarked_c,embarked_q,embarked_s,parch_gt_0,parch_gt_1,parch_gt_2,predictor_2,predictor_3,predictor_4,will_survive,correct
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,False,True,G,1,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,223.34,0.6291919271428424,0.4827479210000001,True,True
11,12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,False,True,C,3,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,315.31,1.1307164248517194,0.788246991,True,True
12,13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2219211284894034,-1.338231534,False,True
13,14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,-248.745,-0.974421966216336,-1.190824034,False,True
14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,False,True,,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,146.57084,-0.012518179904754151,-0.12928979799999998,False,True
15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,False,True,,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,168.2,0.38847206413286306,0.07077958500000006,True,True
16,17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,True,False,,1,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,-189.175,-0.6381576281071062,-0.7652060909999999,False,True
17,18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,True,False,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-232.4,-0.6903916055170488,-1.0159231770000001,False,False
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,98.6,-0.134636501475529,-0.2515287719999999,False,True
19,20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,False,True,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,116.445,0.18882754768187096,0.07237193200000006,True,True
20,21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,True,False,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-229.8,-0.6844221790340975,-1.0159231770000001,False,True
21,22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,True,False,D,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,-157.4,-0.2233239875170488,-0.54829601,False,False
22,23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,False,True,,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,156.60584,0.14688036614982405,0.026370475000000004,True,True
23,24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,True,False,A,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-132.9,-0.035070319642710235,-0.41310788600000004,False,False
24,25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,False,True,,1,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,199.215,0.28960684775729717,0.1658363980000001,True,False
25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,151.2775,0.11233729653303581,-0.1041212719999999,False,False
26,27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-283.555,-0.8978752143181291,-1.0143308299999998,False,True
27,28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,True,False,C,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,12.599999999999994,0.38926936651726907,-0.15104827099999998,False,True
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,False,True,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,106.57584,0.024566057817328478,-0.09586849899999994,True,True
29,30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.42084,-1.2214390231832088,-1.338231534,False,True
30,31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,True,False,,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-139.45584,-0.06306126157170819,-0.406118705,False,True
31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,False,True,B,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,359.30416,1.5802433153897997,1.172590614,True,True
32,33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,False,True,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,106.55000000000001,0.024501169845605596,-0.09586849899999994,True,True
33,34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,True,False,,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-232.9,-0.7009929567253085,-1.0159231770000001,False,True
34,35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,True,False,,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-128.56584,-0.0313439812508087,-0.406118705,False,True
35,36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,True,False,,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-154.6,-0.3791835624431952,-0.730019409,False,True
36,37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-283.55416,-0.897873104956819,-1.0143308299999998,False,False
37,38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2219211284894034,-1.338231534,False,True
38,39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,98.6,-0.13905181385052903,-0.2515287719999999,False,True
39,40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C,False,True,,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,167.24834,0.30866851206243784,0.194610906,True,True
40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S,False,True,,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,96.89500000000001,-0.14770423270569513,-0.2515287719999999,False,True
41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S,False,True,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,169.2,0.3953541261743828,0.07077958500000006,True,False
42,43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-283.42084,-0.8975383191832088,-1.0143308299999998,False,True
43,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,False,True,,2,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,293.31584,1.2310709091430045,0.8120454590000001,True,True
44,45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,106.57584,0.024006508817328485,-0.09586849899999994,True,True
45,46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2213615794894033,-1.338231534,False,True
46,47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-291.9,-1.0627246306837888,-1.1825712609999999,False,True
47,48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,False,True,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,106.55000000000001,0.024501169845605596,-0.09586849899999994,True,True
48,49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-280.66416,-0.8994465223430773,-1.0143308299999998,False,True
49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,98.56,-0.1347369472521898,-0.2515287719999999,False,True
50,51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,True,False,,1,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,-197.0625,-0.7921634915272082,-0.920866364,False,True
51,52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.44,-1.2220466857102292,-1.338231534,False,True
52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,False,True,D,3,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,345.34584,1.5114667890578046,1.148211224,True,True
53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S,False,True,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,170.2,0.3978652705909026,0.07077958500000006,True,True
54,55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,True,False,B,3,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,-7.604160000000007,0.607163254570738,0.23329535199999998,True,False
55,56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,True,False,C,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,-82.9,0.05785439035728976,-0.298455771,False,False
56,57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,,S,False,True,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,167.1,0.39449603527469146,0.07077958500000006,True,True
57,58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-283.55416,-0.8984326539568191,-1.0143308299999998,False,True
58,59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S,False,True,,2,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,270.55,0.9002247814700179,0.4881447550000001,True,True
59,60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S,True,False,,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,-195.62,-0.8707241839147118,-1.0685850600000002,False,True
60,61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-283.55416,-0.8984326539568191,-1.0143308299999998,False,True
61,62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,,False,True,B,3,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,336.0,1.3824499806643151,1.004350183,True,True
62,63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,True,False,C,3,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,-73.305,0.06818772965879624,-0.298455771,False,True
63,64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,True,False,,1,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,-199.42,-0.7237172119474866,-0.920866364,False,True
64,65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,True,False,,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-139.45584,-0.05371548257170819,-0.406118705,False,True
65,66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,-231.95084000000003,-0.737249848099258,-0.8669233299999998,False,False
66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,False,True,F,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,192.1,0.7693425052746915,0.38769110800000006,True,True
67,68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.36834,-1.2218667371013414,-1.338231534,False,True
68,69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,False,True,,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,196.585,0.20081951973351708,0.018117702000000013,True,True
69,70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.2675,-1.2304441380483797,-1.338231534,False,True
70,71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,True,False,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-232.9,-0.6922067267253086,-1.0159231770000001,False,True
71,72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,False,True,,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,204.38,0.2159785780852882,0.018117702000000013,True,False
72,73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S,True,False,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-220.3,-0.6605663070771605,-1.0159231770000001,False,True
73,74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-282.10916,-0.8992193626499482,-1.0143308299999998,False,True
74,75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-293.70083999999997,-1.1975902484546375,-1.338231534,False,False
75,76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,True,False,F,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,-278.47,-0.8472755500427249,-1.021320011,False,True
76,77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.42084,-1.2214390231832088,-1.338231534,False,True
77,78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2213615794894033,-1.338231534,False,True
78,79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,True,False,,2,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,-129.2,-0.1814348820508524,-0.598558007,False,False
79,80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,97.495,-0.13299600368078326,-0.2515287719999999,False,False
80,81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.2,-1.2214440110502645,-1.338231534,False,True
81,82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.1,-1.2211928966086125,-1.338231534,False,False
82,83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,False,True,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,106.5575,0.02452000342872953,-0.09586849899999994,True,True
83,84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S,True,False,,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-155.57999999999998,-0.36844294159638447,-0.730019409,False,True
84,85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,False,True,,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,217.1,0.5172945582746916,0.193018559,True,True
85,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,,S,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,98.16999999999999,-0.14454691832463254,-0.2515287719999999,False,False
86,87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,True,False,,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,-198.125,-0.8772763360114271,-1.0685850600000002,False,True
87,88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2213615794894033,-1.338231534,False,True
88,89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,False,True,C,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,412.6,1.4759721285172689,0.935654491,True,True
89,90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2219211284894034,-1.338231534,False,True
90,91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2219211284894034,-1.338231534,False,True
91,92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.42916,-1.2220194649047542,-1.338231534,False,True
92,93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,True,False,E,3,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,-77.765,0.08765735356111845,-0.267786443,False,True
93,94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,-250.885,-0.9890826327676883,-1.190824034,False,True
94,95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S,True,False,,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.55,-1.2311091415960465,-1.338231534,False,True
95,96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.39,-1.2213615794894033,-1.338231534,False,True
96,97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,True,False,A,3,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-113.06916,0.27961936916779134,-0.08920718200000002,True,False
97,98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,True,False,D,3,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,-7.328339999999997,0.5922627184237026,0.20891596199999998,True,True
98,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S,False,True,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,219.6,0.5617862974826573,0.21818708500000006,True,True
99,100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,S,True,False,,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-229.8,-0.6888374914090974,-1.0159231770000001,False,True
100,101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S,False,True,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,96.57916,-0.13529581018320871,-0.2515287719999999,False,True
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,True,False,,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.42084,-1.2214390231832088,-1.338231534,False,True
102,103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S,True,False,D,3,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,-24.542500000000004,0.27535766098501985,-0.114984742,False,True
103,104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.26916,-1.221617681798111,-1.338231534,False,True
104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.415,-1.2308145318498163,-1.338231534,False,True
105,106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,,S,True,False,,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-303.42084,-1.2219985721832087,-1.338231534,False,True
